"title","description"
"Solaris-3","Sol-III, the third planet from the sun. A world of chaos and change, where old conventions are discarded and disasters run rampant. Human civilization struggles to survive in this new era of destruction and rebirth, facing uncharted challenges with unwavering determination."
"Waveworn Phenomenon","The Lament's power causes destructive waves across the land of Solaris. Manifestations like the ""Tacet Fields,"" ""Tacet Discord Outbreaks,"" and the enigmatic ""Tacetite"" are part of what is collectively known as the ""Waveworn Phenomena."""
"""The Lament""","The term ""Lament"" refers to the ongoing catastrophic events on Solaris-3. Since the onset of the first Lament, the cycle of destruction has persisted relentlessly. The tide of devastation remains ceaseless, with no signs of stopping."
"Tacet Discord","Tacet Discords, created by the Waveworn Phenomena, are dangerous entities with ever-changing, amorphous forms. They possess ""Tacet Cores"" and feed on other frequencies to maintain stability and evolve. These creatures mimic their prey's abilities, shapes, and behaviors, influenced by the types of frequency they consume."
"Echo","Tacet Discords may leave behind ""Reverberations"" when they are eliminated, which can then be transformed into ""Echoes"" through the Pangu Terminal's Data Bank, providing a useful advantage in battle."
"Sentinel","Wherever there is civilization and history, there will be Sentinels. They serve as mankind's guardians and guides. Their immortal existence has helped humanity through countless troubles, sharing wisdom and prophecies. As we embark on a new journey after enduring the Lament, the Sentinels remain our record keeper and beacon in times of disaster."
"Waveworn Phenomenon","The Lament's power causes destructive waves across the land of Solaris. Manifestations like the ""Tacet Fields,"" ""Tacet Discord Outbreaks,"" and the enigmatic ""Tacetite"" are part of what is collectively known as the ""Waveworn Phenomena."""
"Tacet Field","The ""Tacet Fields"" are thought to be where all Tacet Discords originate. These locations feature a sky of inverted seas and a deep cross-shaped Tacet Mark on the ground. Reverberations fill the air, linking our world to an unknown space through a white Resonance Cord. These areas attract gatherings of Tacet Discords."
"Resonator","Individuals with the ability to resonate with certain objects and manipulate their frequencies are known as ""Resonators."" These individuals exhibit unique ""Resonance Abilities,"" also known as their ""Fortes,"" through the ""Tacet Mark"" on their bodies. According to experts, a Resonator's abilities are often influenced by their past experiences and subconscious mind."
"Tacet Discord","Tacet Discords, created by the Waveworn Phenomena, are dangerous entities with ever-changing, amorphous forms. They possess ""Tacet Cores"" and feed on other frequencies to maintain stability and evolve. These creatures mimic their prey's abilities, shapes, and behaviors, influenced by the types of frequency they consume."
"Solaris-3","Sol-III, the third planet from the sun. A world of chaos and change, where old conventions are discarded and disasters run rampant. Human civilization struggles to survive in this new era of destruction and rebirth, facing uncharted challenges with unwavering determination."
"Waveworn Phenomenon","The Lament's power causes destructive waves across the land of Solaris. Manifestations like the ""Tacet Fields,"" ""Tacet Discord Outbreaks,"" and the enigmatic ""Tacetite"" are part of what is collectively known as the ""Waveworn Phenomena."""
"""The Lament""","The term ""Lament"" refers to the ongoing catastrophic events on Solaris-3. Since the onset of the first Lament, the cycle of destruction has persisted relentlessly. The tide of devastation remains ceaseless, with no signs of stopping."
"Tacet Field","The ""Tacet Fields"" are thought to be where all Tacet Discords originate. These locations feature a sky of inverted seas and a deep cross-shaped Tacet Mark on the ground. Reverberations fill the air, linking our world to an unknown space through a white Resonance Cord. These areas attract gatherings of Tacet Discords."
"Resonator","Individuals with the ability to resonate with certain objects and manipulate their frequencies are known as ""Resonators."" These individuals exhibit unique ""Resonance Abilities,"" also known as their ""Fortes,"" through the ""Tacet Mark"" on their bodies. According to experts, a Resonator's abilities are often influenced by their past experiences and subconscious mind."
