"name","description"
"浩境粼光","凝视它——在凛冽的刃锋之中，仿佛能看到微风骤起，那片无止尽的湖水泛起阵阵冰寒粼光。忘我地挥舞这把长刃，便能感觉到如水般清澈的刀身中积蓄的能量。"
"千古洑流","倾听它——在冷峭的刀刃之下，仿佛能听见极寒冰流暗涌的声音，思想渐渐如水般聚流成涡。跟随此流向翻飞，手中的迅刀将吞噬一切落入其中的敌人。"
"停驻之烟","抓住它——在凄清的枪身之中，仿佛能抓住那宛若静止的万里湖烟，瞬间冻结的冰砾停于指缝。握住这佩枪的扳机，让喷吐出的浓厚湖烟，蔓延在战场的每一个角落。"
"擎渊怒涛","感受它——在暴烈的臂铠之上，仿佛能感受到来自湖底未知深潭的翻涌怒涛，不可名状，不可消解。咆哮着戴上此臂铠，向敌人宣泄无处可去的愤怒。"
"漪澜浮录","触碰它——在冰寒的矩阵之间，仿佛能触碰到围绕在天地之间的那片湖，它将指引你找到一切答案。怀抱此音感仪，消灭所有阻挡在你与真理之间的敌人。"
"异响空灵","以乐谱频率为灵感创作的长刃。音阶下行，手持此刃，将以异响之力引领战局，佳作永不落幕。"
"行进序曲","以乐谱频率为灵感创作的迅刀。音阶上行，手持此刃，以悦耳之鸣，谱写华丽序曲。"
"华彩乐段","以乐谱频率为灵感创作的佩枪。音阶上行，手持此枪，将以破空之势贯穿雷霆，演绎绝妙乐章。"
"呼啸重音","以乐谱频率为灵感创作的臂铠。音阶下行，臂有此铠，以巨浪之音呼啸狂怒，锻造高昂交响。"
"奇幻变奏","以乐谱频率为灵感创作的音感仪。音阶下行，手持此器，将以洞悉之态寻觅战策，协奏就此变调。"
"暗夜长刃·玄明","夜归常用长刃，经过历代军士改进，如今是战场上最常见的武器。“穿越长夜，胜利归来”不仅是必胜的决心，更是守护的誓言。"
"暗夜迅刀·黑闪","夜归常用迅刀，经过历代军士改进，如今是战场上最常见的武器。“穿越长夜，胜利归来”不仅是必胜的决心，更是守护的誓言。"
"暗夜佩枪·暗星","夜归常用佩枪，经过历代军士改进，如今是战场上最常见的武器。“穿越长夜，胜利归来”不仅是必胜的决心，更是守护的誓言。"
"暗夜臂铠·夜芒","夜归常用臂铠，经过历代军士改进，如今是战场上最常见的武器。“穿越长夜，胜利归来”不仅是必胜的决心，更是守护的誓言。"
"暗夜矩阵·暝光","夜归常用音感仪，经历代军士改进，如今是战场上最常见的武器。“穿越长夜，胜利归来”不仅是必胜的决心，更是守护的誓言。"
"原初长刃·朴石","专为新手共鸣者特制的长刃，低调朴实的外表下，蕴含着不容小觑的战斗力。"
"原初迅刀·鸣雨","专为新手共鸣者特制的迅刀，低调朴实的外表下，蕴含着不容小觑的战斗力。"
"原初佩枪·穿林","专为新手共鸣者特制的佩枪，低调朴实的外表下，蕴含着不容小觑的战斗力。"
"原初臂铠·磐岩","专为新手共鸣者特制的臂铠，低调朴实的外表下，蕴含着不容小觑的战斗力。"
"原初音感仪·听浪","专为新手共鸣者特制的音感仪，低调朴实的外表下，蕴含着不容小觑的战斗力。"
"教学长刃","用于训练与教学的长刃，只具备基础的功能。"
"教学迅刀","用于训练与教学的迅刀，只具备基础的功能。"
"教学佩枪","用于训练与教学的佩枪，只具备基础的功能。"
"教学臂铠","用于训练与教学的臂铠，只具备基础的功能。"
"教学音感仪","用于训练与教学的音感仪，只具备基础的功能。"
"源能长刃·测壹","为开发新型黑石武器，华胥研究院以技术验证为目的打造的测试型长刃，除了不俗的武器性能，最大的特点是能通过攻击提高共鸣者身体活性治愈伤口。"
"源能迅刀·测贰","为开发新型黑石武器，华胥研究院以技术验证为目的打造的测试型迅刀，除了不俗的武器性能，最大的特点是能通过攻击提高共鸣者身体活性治愈伤口。"
"源能音感仪·测五","为开发新型黑石武器，华胥研究院以技术验证为目的打造的测试型音感仪，除了不俗的武器性能，最大的特点是能通过攻击提高共鸣者身体活性治愈伤口。"
"重破刃-41型","华胥研究院在此前源能武器的基础上进行自主改进、研发的第一把极具实用性的高性能长刃，代表着研究院的理性与开放，坚不可摧。"
"瞬斩刀-18型","华胥研究院在此前源能武器的基础上进行自主改进、研发的第一把极具实用性的高性能迅刀，代表着研究院的过往与发展，历久弥新。"
"鸣动仪-25型","华胥研究院在此前源能武器的基础上进行自主改进、研发的第一个极具实用性的高性能音感仪，代表着研究院的多元与创新，瞬息万状。"
"永夜长明","为纪念夜归战士的常备不懈而打造的长刃。有诗赞曰：“漫漫长夜秋萧瑟，点点星光负长缨。”"
"不归孤军","为纪念夜归战士的一往无前而打造的迅刀。有诗赞曰：“千音万阙传惊鼓，百兵一心出云陵。”"
"无眠烈火","为纪念夜归战士的舍生忘死而打造的佩枪。有诗赞曰：“会燃残躯成烈火，焚焰灼尽天下安。”"
"袍泽之固","为纪念夜归战士的同袍之义而打造的臂铠。有诗赞曰“薄衣难抵霜晨月，铁甲能断星垂寒。”"
"今州守望","为纪念夜归战士对今州的守护而打造的音感仪。有诗赞曰：“湖城北望荒石岭，氤氲暗雨遮朔关。”"
"远行者长刃·辟路","先行公约为远行者提供的长刃，色泽鲜明，不易丢失，质地坚硬，能长期应对多种极端环境，在探险家群体中极受欢迎。"
"远行者迅刀·旅迹","先行公约为远行者提供的迅刀，色泽鲜明，不易丢失，质地坚硬，能长期应对多种极端环境，在探险家群体中极受欢迎。"
"远行者矩阵·探幽","先行公约为远行者提供的音感仪，色泽鲜明，不易丢失，质地坚硬，能长期应对多种极端环境，在探险家群体中极受欢迎。"
"戍关长刃·定军","初代今州令尹为纪念守住边关、帮助建城的神秘人，根据其指导打造出戍关系列。如今，它已成为新型武器研发绕不开的基石。"
"戍关迅刀·镇海","初代今州令尹为纪念守住边关、帮助建城的神秘人，根据其指导打造出戍关系列。如今，它已成为新型武器研发绕不开的基石。"
"戍关佩枪·平云","初代今州令尹为纪念守住边关、帮助建城的神秘人，根据其指导打造出戍关系列。如今，它已成为新型武器研发绕不开的基石。"
"戍关臂铠·拔山","初代今州令尹为纪念守住边关、帮助建城的神秘人，根据其指导打造出戍关系列。如今，它已成为新型武器研发绕不开的基石。"
"戍关音感仪·留光","初代今州令尹为纪念守住边关、帮助建城的神秘人，根据其指导打造出戍关系列。如今，它已成为新型武器研发绕不开的基石。"
"东落","因空中奇象而生的长刃。锻造者将目睹异星的感受融于武器之中，使它看起来镂空轻盈、却能发挥出星陨时那般无敌重力。"
"西升","因空中奇象而生的迅刀。锻造者将目睹异星的感受融于武器之中，使它看起来轻快锋利，却能发挥出利破长空、削铁如泥的能量。"
"飞逝","因空中奇象而生的佩枪。锻造者将目睹异星的感受融于武器之中，使它看起来镂空轻盈、却稳定性极强，出枪弹雨有雷霆威力。"
"异度","因空中奇象而生的音感仪。锻造者将目睹异星的感受融于武器之中，使它看起来纤巧轻盈、却能沉稳恒定、应变有方。"
"源能佩枪·测叁","为开发新型黑石武器，华胥研究院以技术验证为目的打造的测试型佩枪，除了不俗的武器性能，最大的特点是能通过攻击提高共鸣者身体活性治愈伤口。"
"源能臂铠·测肆","为开发新型黑石武器，华胥研究院以技术验证为目的打造的测试型臂铠，除了不俗的武器性能，最大的特点是能通过攻击提高共鸣者身体活性治愈伤口。"
"穿击枪-26型","华胥研究院在此前源能武器的基础上进行自主改进、研发的第一把极具实用性的高性能佩枪，代表着研究院的精研与缜密，直指深邃。"
"钢影拳-21丁型","华胥研究院在此前源能武器的基础上进行自主改进、研发的第一套极具实用性的高性能臂铠，代表着研究院的关怀与温情，稳固持久。"
"纹秋","此长刃是瑝珑一州令尹就任仪式上使用的典礼武器，黄金银杏叶花纹代表了瑝珑应如银杏一般，虽孑遗世上，却依旧繁荣长存。"
"飞景","此迅刀是瑝珑一州令尹就任仪式上使用的典礼武器，黄金银杏叶花纹代表了瑝珑应如银杏一般，虽孑遗世上，却依旧繁荣长存。"
"奔雷","此佩枪是瑝珑一州令尹就任仪式上使用的典礼武器，黄金银杏叶花纹代表了瑝珑应如银杏一般，虽孑遗世上，却依旧繁荣长存。"
"金掌","此臂铠是瑝珑一州令尹就任仪式上使用的典礼武器，黄金银杏叶花纹代表了瑝珑应如银杏一般，虽孑遗世上，却依旧繁荣长存。"
"清音","此音感仪是瑝珑一州令尹就任仪式上使用的典礼武器，黄金银杏叶花纹代表了瑝珑应如银杏一般，虽孑遗世上，却依旧繁荣长存。"
"苍鳞千嶂","千年高山为脊，万载江水为刃，天地自化，凝成此器。利刃出鞘，龙吟破空，顷刻间白波若山，海水震荡，声侔鬼神，惮赫千里。"
"掣傀之手","金掌张开，绳索引动，凌空天象凝集其中，所向之敌会被无形的气势所压迫而无法动作，千束疾电造成的伤痕将永远无法愈合。"
"凋亡频移","黑海岸为资深战斗人员研发的实验型武器，以耀变体的命运为名的长刃。“耀变”是特殊类星体的名字，它们迸发的光辉仅仅投向此处——即使相隔百亿光年，也能观测到它们的痕迹。"
"永续坍缩","黑海岸为资深战斗人员研发的实验型武器，以耀变体的心脏为名的迅刀。“耀变”是特殊类星体的名字，它们迸发的光辉仅仅投向此处——即使相隔百亿光年，也能观测到它们的痕迹。"
